file name,table_count,table_names
Weberp-3.0-demo_mod_sort.sql,78,"['`accountgroups`', '`accountsection`', '`areas`', '`bankaccounts`', '`banktrans`', '`bom`', '`buckets`', '`chartdetails`', '`chartmaster`', '`cogsglpostings`', '`companies`', '`config`', '`contractbom`', '`contractreqts`', '`contracts`', '`currencies`', '`custallocns`', '`custbranch`', '`debtorsmaster`', '`debtortrans`', '`discountmatrix`', '`edi_orders_seg_groups`', '`edi_orders_segs`', '`ediitemmapping`', '`edimessageformat`', '`freightcosts`', '`gltrans`', '`grns`', '`holdreasons`', '`lastcostrollup`', '`locations`', '`locstock`', '`loctransfers`', '`orderdeliverydifferenceslog`', '`paymentmethods`', '`paymentterms`', '`periods`', '`prices`', '`purchdata`', '`purchorderdetails`', '`purchorders`', '`recurringsalesorders`', '`recurrsalesorderdetails`', '`reportcolumns`', '`reportheaders`', '`salesanalysis`', '`salescat`', '`salescatprod`', '`salesglpostings`', '`salesman`', '`salesorderdetails`', '`salesorders`', '`salestypes`', '`scripts`', '`securitygroups`', '`securityroles`', '`securitytokens`', '`shipmentcharges`', '`shipments`', '`shippers`', '`stockcategory`', '`stockcheckfreeze`', '`stockcounts`', '`stockmaster`', '`stockmoves`', '`stockserialitems`', '`stockserialmoves`', '`suppallocs`', '`suppliercontacts`', '`suppliers`', '`supptrans`', '`systypes`', '`taxauthlevels`', '`taxauthorities`', '`unitsofmeasure`', '`workcentres`', '`worksorders`', '`www_users`']"
Weberp-3.01-demo_mod_sort.sql,78,"['`accountgroups`', '`accountsection`', '`areas`', '`bankaccounts`', '`banktrans`', '`bom`', '`buckets`', '`chartdetails`', '`chartmaster`', '`cogsglpostings`', '`companies`', '`config`', '`contractbom`', '`contractreqts`', '`contracts`', '`currencies`', '`custallocns`', '`custbranch`', '`debtorsmaster`', '`debtortrans`', '`discountmatrix`', '`edi_orders_seg_groups`', '`edi_orders_segs`', '`ediitemmapping`', '`edimessageformat`', '`freightcosts`', '`gltrans`', '`grns`', '`holdreasons`', '`lastcostrollup`', '`locations`', '`locstock`', '`loctransfers`', '`orderdeliverydifferenceslog`', '`paymentmethods`', '`paymentterms`', '`periods`', '`prices`', '`purchdata`', '`purchorderdetails`', '`purchorders`', '`recurringsalesorders`', '`recurrsalesorderdetails`', '`reportcolumns`', '`reportheaders`', '`salesanalysis`', '`salescat`', '`salescatprod`', '`salesglpostings`', '`salesman`', '`salesorderdetails`', '`salesorders`', '`salestypes`', '`scripts`', '`securitygroups`', '`securityroles`', '`securitytokens`', '`shipmentcharges`', '`shipments`', '`shippers`', '`stockcategory`', '`stockcheckfreeze`', '`stockcounts`', '`stockmaster`', '`stockmoves`', '`stockserialitems`', '`stockserialmoves`', '`suppallocs`', '`suppliercontacts`', '`suppliers`', '`supptrans`', '`systypes`', '`taxauthlevels`', '`taxauthorities`', '`unitsofmeasure`', '`workcentres`', '`worksorders`', '`www_users`']"
Weberp-3.02-demo_mod_sort.sql,85,"['`accountgroups`', '`accountsection`', '`areas`', '`bankaccounts`', '`banktrans`', '`bom`', '`buckets`', '`chartdetails`', '`chartmaster`', '`cogsglpostings`', '`companies`', '`config`', '`contractbom`', '`contractreqts`', '`contracts`', '`currencies`', '`custallocns`', '`custbranch`', '`debtorsmaster`', '`debtortrans`', '`discountmatrix`', '`edi_orders_seg_groups`', '`edi_orders_segs`', '`ediitemmapping`', '`edimessageformat`', '`freightcosts`', '`gltrans`', '`grns`', '`holdreasons`', '`lastcostrollup`', '`locations`', '`locstock`', '`loctransfers`', '`orderdeliverydifferenceslog`', '`paymentmethods`', '`paymentterms`', '`periods`', '`prices`', '`purchdata`', '`purchorderdetails`', '`purchorders`', '`recurringsalesorders`', '`recurrsalesorderdetails`', '`reportcolumns`', '`reportheaders`', '`salesanalysis`', '`salescat`', '`salescatprod`', '`salesglpostings`', '`salesman`', '`salesorderdetails`', '`salesorders`', '`salestypes`', '`scripts`', '`securitygroups`', '`securityroles`', '`securitytokens`', '`shipmentcharges`', '`shipments`', '`shippers`', '`stockcategory`', '`stockcheckfreeze`', '`stockcounts`', '`stockmaster`', '`stockmoves`', '`stockserialitems`', '`stockserialmoves`', '`suppallocs`', '`suppliercontacts`', '`suppliers`', '`supptrans`', '`systypes`', '`taxauthorities`', '`unitsofmeasure`', '`workcentres`', '`worksorders`', '`www_users`', '`debtortranstaxes`', '`stockmovestaxes`', '`supptranstaxes`', '`taxauthrates`', '`taxcategories`', '`taxgroups`', '`taxgrouptaxes`', '`taxprovinces`']"
Weberp-3.03-demo_mod_sort.sql,85,"['`accountgroups`', '`accountsection`', '`areas`', '`bankaccounts`', '`banktrans`', '`bom`', '`buckets`', '`chartdetails`', '`chartmaster`', '`cogsglpostings`', '`companies`', '`config`', '`contractbom`', '`contractreqts`', '`contracts`', '`currencies`', '`custallocns`', '`custbranch`', '`debtorsmaster`', '`debtortrans`', '`discountmatrix`', '`edi_orders_seg_groups`', '`edi_orders_segs`', '`ediitemmapping`', '`edimessageformat`', '`freightcosts`', '`gltrans`', '`grns`', '`holdreasons`', '`lastcostrollup`', '`locations`', '`locstock`', '`loctransfers`', '`orderdeliverydifferenceslog`', '`paymentmethods`', '`paymentterms`', '`periods`', '`prices`', '`purchdata`', '`purchorderdetails`', '`purchorders`', '`recurringsalesorders`', '`recurrsalesorderdetails`', '`reportcolumns`', '`reportheaders`', '`salesanalysis`', '`salescat`', '`salescatprod`', '`salesglpostings`', '`salesman`', '`salesorderdetails`', '`salesorders`', '`salestypes`', '`scripts`', '`securitygroups`', '`securityroles`', '`securitytokens`', '`shipmentcharges`', '`shipments`', '`shippers`', '`stockcategory`', '`stockcheckfreeze`', '`stockcounts`', '`stockmaster`', '`stockmoves`', '`stockserialitems`', '`stockserialmoves`', '`suppallocs`', '`suppliercontacts`', '`suppliers`', '`supptrans`', '`systypes`', '`taxauthorities`', '`unitsofmeasure`', '`workcentres`', '`worksorders`', '`www_users`', '`debtortranstaxes`', '`stockmovestaxes`', '`supptranstaxes`', '`taxauthrates`', '`taxcategories`', '`taxgroups`', '`taxgrouptaxes`', '`taxprovinces`']"
Weberp-3.04-demo_mod_sort.sql,85,"['`accountgroups`', '`accountsection`', '`areas`', '`bankaccounts`', '`banktrans`', '`bom`', '`buckets`', '`chartdetails`', '`chartmaster`', '`cogsglpostings`', '`companies`', '`config`', '`contractbom`', '`contractreqts`', '`contracts`', '`currencies`', '`custallocns`', '`custbranch`', '`debtorsmaster`', '`debtortrans`', '`discountmatrix`', '`edi_orders_seg_groups`', '`edi_orders_segs`', '`ediitemmapping`', '`edimessageformat`', '`freightcosts`', '`gltrans`', '`grns`', '`holdreasons`', '`lastcostrollup`', '`locations`', '`locstock`', '`loctransfers`', '`orderdeliverydifferenceslog`', '`paymentmethods`', '`paymentterms`', '`periods`', '`prices`', '`purchdata`', '`purchorderdetails`', '`purchorders`', '`recurringsalesorders`', '`recurrsalesorderdetails`', '`reportcolumns`', '`reportheaders`', '`salesanalysis`', '`salescat`', '`salescatprod`', '`salesglpostings`', '`salesman`', '`salesorderdetails`', '`salesorders`', '`salestypes`', '`scripts`', '`securitygroups`', '`securityroles`', '`securitytokens`', '`shipmentcharges`', '`shipments`', '`shippers`', '`stockcategory`', '`stockcheckfreeze`', '`stockcounts`', '`stockmaster`', '`stockmoves`', '`stockserialitems`', '`stockserialmoves`', '`suppallocs`', '`suppliercontacts`', '`suppliers`', '`supptrans`', '`systypes`', '`taxauthorities`', '`unitsofmeasure`', '`workcentres`', '`worksorders`', '`www_users`', '`debtortranstaxes`', '`stockmovestaxes`', '`supptranstaxes`', '`taxauthrates`', '`taxcategories`', '`taxgroups`', '`taxgrouptaxes`', '`taxprovinces`']"
Weberp-3.05-demo_mod_sort.sql,88,"['`accountgroups`', '`accountsection`', '`areas`', '`bankaccounts`', '`banktrans`', '`bom`', '`buckets`', '`chartdetails`', '`chartmaster`', '`cogsglpostings`', '`companies`', '`config`', '`contractbom`', '`contractreqts`', '`contracts`', '`currencies`', '`custallocns`', '`custbranch`', '`debtorsmaster`', '`debtortrans`', '`discountmatrix`', '`edi_orders_seg_groups`', '`edi_orders_segs`', '`ediitemmapping`', '`edimessageformat`', '`freightcosts`', '`gltrans`', '`grns`', '`holdreasons`', '`lastcostrollup`', '`locations`', '`locstock`', '`loctransfers`', '`orderdeliverydifferenceslog`', '`paymentmethods`', '`paymentterms`', '`periods`', '`prices`', '`purchdata`', '`purchorderdetails`', '`purchorders`', '`recurringsalesorders`', '`recurrsalesorderdetails`', '`reportcolumns`', '`reportheaders`', '`salesanalysis`', '`salescat`', '`salescatprod`', '`salesglpostings`', '`salesman`', '`salesorderdetails`', '`salesorders`', '`salestypes`', '`scripts`', '`securitygroups`', '`securityroles`', '`securitytokens`', '`shipmentcharges`', '`shipments`', '`shippers`', '`stockcategory`', '`stockcheckfreeze`', '`stockcounts`', '`stockmaster`', '`stockmoves`', '`stockserialitems`', '`stockserialmoves`', '`suppallocs`', '`suppliercontacts`', '`suppliers`', '`supptrans`', '`systypes`', '`taxauthorities`', '`unitsofmeasure`', '`workcentres`', '`worksorders`', '`www_users`', '`debtortranstaxes`', '`stockmovestaxes`', '`supptranstaxes`', '`taxauthrates`', '`taxcategories`', '`taxgroups`', '`taxgrouptaxes`', '`taxprovinces`', '`reportfields`', '`reportlinks`', '`reports`']"
Weberp-3.06-demo_mod_sort.sql,90,"['`accountgroups`', '`accountsection`', '`areas`', '`bankaccounts`', '`banktrans`', '`bom`', '`buckets`', '`chartdetails`', '`chartmaster`', '`cogsglpostings`', '`companies`', '`config`', '`contractbom`', '`contractreqts`', '`contracts`', '`currencies`', '`custallocns`', '`custbranch`', '`debtorsmaster`', '`debtortrans`', '`discountmatrix`', '`edi_orders_seg_groups`', '`edi_orders_segs`', '`ediitemmapping`', '`edimessageformat`', '`freightcosts`', '`gltrans`', '`grns`', '`holdreasons`', '`lastcostrollup`', '`locations`', '`locstock`', '`loctransfers`', '`orderdeliverydifferenceslog`', '`paymentmethods`', '`paymentterms`', '`periods`', '`prices`', '`purchdata`', '`purchorderdetails`', '`purchorders`', '`recurringsalesorders`', '`recurrsalesorderdetails`', '`reportcolumns`', '`reportheaders`', '`salesanalysis`', '`salescat`', '`salescatprod`', '`salesglpostings`', '`salesman`', '`salesorderdetails`', '`salesorders`', '`salestypes`', '`scripts`', '`securitygroups`', '`securityroles`', '`securitytokens`', '`shipmentcharges`', '`shipments`', '`shippers`', '`stockcategory`', '`stockcheckfreeze`', '`stockcounts`', '`stockmaster`', '`stockmoves`', '`stockserialitems`', '`stockserialmoves`', '`suppallocs`', '`suppliercontacts`', '`suppliers`', '`supptrans`', '`systypes`', '`taxauthorities`', '`unitsofmeasure`', '`workcentres`', '`www_users`', '`debtortranstaxes`', '`stockmovestaxes`', '`supptranstaxes`', '`taxauthrates`', '`taxcategories`', '`taxgroups`', '`taxgrouptaxes`', '`taxprovinces`', '`reportfields`', '`reportlinks`', '`reports`', '`woitems`', '`workorders`', '`worequirements`']"
Weberp-3.07-demo_mod_sort.sql,92,"['`accountgroups`', '`accountsection`', '`areas`', '`bankaccounts`', '`banktrans`', '`bom`', '`buckets`', '`chartdetails`', '`chartmaster`', '`cogsglpostings`', '`companies`', '`config`', '`contractbom`', '`contractreqts`', '`contracts`', '`currencies`', '`custallocns`', '`custbranch`', '`debtorsmaster`', '`debtortrans`', '`discountmatrix`', '`edi_orders_seg_groups`', '`edi_orders_segs`', '`ediitemmapping`', '`edimessageformat`', '`freightcosts`', '`gltrans`', '`grns`', '`holdreasons`', '`lastcostrollup`', '`locations`', '`locstock`', '`loctransfers`', '`orderdeliverydifferenceslog`', '`paymentmethods`', '`paymentterms`', '`periods`', '`prices`', '`purchdata`', '`purchorderdetails`', '`purchorders`', '`recurringsalesorders`', '`recurrsalesorderdetails`', '`reportcolumns`', '`reportheaders`', '`salesanalysis`', '`salescat`', '`salescatprod`', '`salesglpostings`', '`salesman`', '`salesorderdetails`', '`salesorders`', '`salestypes`', '`scripts`', '`securitygroups`', '`securityroles`', '`securitytokens`', '`shipmentcharges`', '`shipments`', '`shippers`', '`stockcategory`', '`stockcheckfreeze`', '`stockcounts`', '`stockmaster`', '`stockmoves`', '`stockserialitems`', '`stockserialmoves`', '`suppallocs`', '`suppliercontacts`', '`suppliers`', '`supptrans`', '`systypes`', '`taxauthorities`', '`unitsofmeasure`', '`workcentres`', '`www_users`', '`debtortranstaxes`', '`stockmovestaxes`', '`supptranstaxes`', '`taxauthrates`', '`taxcategories`', '`taxgroups`', '`taxgrouptaxes`', '`taxprovinces`', '`reportfields`', '`reportlinks`', '`reports`', '`woitems`', '`workorders`', '`stockcatproperties`', '`stockitemproperties`', '`worequirements`']"
Weberp-3.08-demo_mod_sort.sql,92,"['`accountgroups`', '`accountsection`', '`areas`', '`bankaccounts`', '`banktrans`', '`bom`', '`buckets`', '`chartdetails`', '`chartmaster`', '`cogsglpostings`', '`companies`', '`config`', '`contractbom`', '`contractreqts`', '`contracts`', '`currencies`', '`custallocns`', '`custbranch`', '`debtorsmaster`', '`debtortrans`', '`discountmatrix`', '`edi_orders_seg_groups`', '`edi_orders_segs`', '`ediitemmapping`', '`edimessageformat`', '`freightcosts`', '`gltrans`', '`grns`', '`holdreasons`', '`lastcostrollup`', '`locations`', '`locstock`', '`loctransfers`', '`orderdeliverydifferenceslog`', '`paymentmethods`', '`paymentterms`', '`periods`', '`prices`', '`purchdata`', '`purchorderdetails`', '`purchorders`', '`recurringsalesorders`', '`recurrsalesorderdetails`', '`reportcolumns`', '`reportheaders`', '`salesanalysis`', '`salescat`', '`salescatprod`', '`salesglpostings`', '`salesman`', '`salesorderdetails`', '`salesorders`', '`salestypes`', '`scripts`', '`securitygroups`', '`securityroles`', '`securitytokens`', '`shipmentcharges`', '`shipments`', '`shippers`', '`stockcategory`', '`stockcheckfreeze`', '`stockcounts`', '`stockmaster`', '`stockmoves`', '`stockserialitems`', '`stockserialmoves`', '`suppallocs`', '`suppliercontacts`', '`suppliers`', '`supptrans`', '`systypes`', '`taxauthorities`', '`unitsofmeasure`', '`workcentres`', '`www_users`', '`debtortranstaxes`', '`stockmovestaxes`', '`supptranstaxes`', '`taxauthrates`', '`taxcategories`', '`taxgroups`', '`taxgrouptaxes`', '`taxprovinces`', '`reportfields`', '`reportlinks`', '`reports`', '`woitems`', '`workorders`', '`stockcatproperties`', '`stockitemproperties`', '`worequirements`']"
Weberp-3.09-demo_mod_sort.sql,95,"['`accountgroups`', '`accountsection`', '`areas`', '`bankaccounts`', '`banktrans`', '`bom`', '`buckets`', '`chartdetails`', '`chartmaster`', '`cogsglpostings`', '`companies`', '`config`', '`contractbom`', '`contractreqts`', '`contracts`', '`currencies`', '`custallocns`', '`custbranch`', '`debtorsmaster`', '`debtortrans`', '`discountmatrix`', '`edi_orders_seg_groups`', '`edi_orders_segs`', '`ediitemmapping`', '`edimessageformat`', '`freightcosts`', '`gltrans`', '`grns`', '`holdreasons`', '`lastcostrollup`', '`locations`', '`locstock`', '`loctransfers`', '`orderdeliverydifferenceslog`', '`paymentmethods`', '`paymentterms`', '`periods`', '`prices`', '`purchdata`', '`purchorderdetails`', '`purchorders`', '`recurringsalesorders`', '`recurrsalesorderdetails`', '`reportcolumns`', '`reportheaders`', '`salesanalysis`', '`salescat`', '`salescatprod`', '`salesglpostings`', '`salesman`', '`salesorderdetails`', '`salesorders`', '`salestypes`', '`scripts`', '`securitygroups`', '`securityroles`', '`securitytokens`', '`shipmentcharges`', '`shipments`', '`shippers`', '`stockcategory`', '`stockcheckfreeze`', '`stockcounts`', '`stockmaster`', '`stockmoves`', '`stockserialitems`', '`stockserialmoves`', '`suppallocs`', '`suppliercontacts`', '`suppliers`', '`supptrans`', '`systypes`', '`taxauthorities`', '`unitsofmeasure`', '`workcentres`', '`www_users`', '`debtortranstaxes`', '`stockmovestaxes`', '`supptranstaxes`', '`taxauthrates`', '`taxcategories`', '`taxgroups`', '`taxgrouptaxes`', '`taxprovinces`', '`reportfields`', '`reportlinks`', '`reports`', '`woitems`', '`workorders`', '`stockcatproperties`', '`stockitemproperties`', '`assetmanager`', '`audittrail`', '`factorcompanies`', '`worequirements`']"
Weberp-3.10-demo_mod_sort.sql,101,"['`accountgroups`', '`accountsection`', '`areas`', '`bankaccounts`', '`banktrans`', '`bom`', '`buckets`', '`chartdetails`', '`chartmaster`', '`cogsglpostings`', '`companies`', '`config`', '`contractbom`', '`contractreqts`', '`contracts`', '`currencies`', '`custallocns`', '`custbranch`', '`debtorsmaster`', '`debtortrans`', '`discountmatrix`', '`edi_orders_seg_groups`', '`edi_orders_segs`', '`ediitemmapping`', '`edimessageformat`', '`freightcosts`', '`gltrans`', '`grns`', '`holdreasons`', '`lastcostrollup`', '`locations`', '`locstock`', '`loctransfers`', '`orderdeliverydifferenceslog`', '`paymentmethods`', '`paymentterms`', '`periods`', '`prices`', '`purchdata`', '`purchorderdetails`', '`purchorders`', '`recurringsalesorders`', '`recurrsalesorderdetails`', '`reportcolumns`', '`reportheaders`', '`salesanalysis`', '`salescat`', '`salescatprod`', '`salesglpostings`', '`salesman`', '`salesorderdetails`', '`salesorders`', '`salestypes`', '`scripts`', '`securitygroups`', '`securityroles`', '`securitytokens`', '`shipmentcharges`', '`shipments`', '`shippers`', '`stockcategory`', '`stockcheckfreeze`', '`stockcounts`', '`stockmaster`', '`stockmoves`', '`stockserialitems`', '`stockserialmoves`', '`suppallocs`', '`suppliercontacts`', '`suppliers`', '`supptrans`', '`systypes`', '`taxauthorities`', '`unitsofmeasure`', '`workcentres`', '`www_users`', '`debtortranstaxes`', '`stockmovestaxes`', '`supptranstaxes`', '`taxauthrates`', '`taxcategories`', '`taxgroups`', '`taxgrouptaxes`', '`taxprovinces`', '`reportfields`', '`reportlinks`', '`reports`', '`woitems`', '`workorders`', '`stockcatproperties`', '`stockitemproperties`', '`assetmanager`', '`audittrail`', '`factorcompanies`', '`custcontacts`', '`custnotes`', '`debtortype`', '`debtortypenotes`', '`geocode_param`', '`tags`', '`worequirements`']"
Weberp-3.11-demo_mod_sort.sql,107,"['`accountgroups`', '`accountsection`', '`areas`', '`bankaccounts`', '`banktrans`', '`bom`', '`buckets`', '`chartdetails`', '`chartmaster`', '`cogsglpostings`', '`companies`', '`config`', '`contractbom`', '`contractreqts`', '`contracts`', '`currencies`', '`custallocns`', '`custbranch`', '`debtorsmaster`', '`debtortrans`', '`discountmatrix`', '`edi_orders_seg_groups`', '`edi_orders_segs`', '`ediitemmapping`', '`edimessageformat`', '`freightcosts`', '`gltrans`', '`grns`', '`holdreasons`', '`lastcostrollup`', '`locations`', '`locstock`', '`loctransfers`', '`orderdeliverydifferenceslog`', '`paymentmethods`', '`paymentterms`', '`periods`', '`prices`', '`purchdata`', '`purchorderdetails`', '`purchorders`', '`recurringsalesorders`', '`recurrsalesorderdetails`', '`reportcolumns`', '`reportheaders`', '`salesanalysis`', '`salescat`', '`salescatprod`', '`salesglpostings`', '`salesman`', '`salesorderdetails`', '`salesorders`', '`salestypes`', '`scripts`', '`securitygroups`', '`securityroles`', '`securitytokens`', '`shipmentcharges`', '`shipments`', '`shippers`', '`stockcategory`', '`stockcheckfreeze`', '`stockcounts`', '`stockmaster`', '`stockmoves`', '`stockserialitems`', '`stockserialmoves`', '`suppallocs`', '`suppliercontacts`', '`suppliers`', '`supptrans`', '`systypes`', '`taxauthorities`', '`unitsofmeasure`', '`workcentres`', '`www_users`', '`debtortranstaxes`', '`stockmovestaxes`', '`supptranstaxes`', '`taxauthrates`', '`taxcategories`', '`taxgroups`', '`taxgrouptaxes`', '`taxprovinces`', '`reportfields`', '`reportlinks`', '`reports`', '`woitems`', '`workorders`', '`stockcatproperties`', '`stockitemproperties`', '`assetmanager`', '`audittrail`', '`factorcompanies`', '`custcontacts`', '`custnotes`', '`debtortype`', '`debtortypenotes`', '`geocode_param`', '`tags`', '`deliverynotes`', '`mrpcalendar`', '`mrpdemandtypes`', '`purchorderauth`', '`woserialnos`', '`worequirements`', '`mrpdemands`']"
Weberp-3.11.1-demo_mod_sort.sql,107,"['`accountgroups`', '`accountsection`', '`areas`', '`bankaccounts`', '`banktrans`', '`bom`', '`buckets`', '`chartdetails`', '`chartmaster`', '`cogsglpostings`', '`companies`', '`config`', '`contractbom`', '`contractreqts`', '`contracts`', '`currencies`', '`custallocns`', '`custbranch`', '`debtorsmaster`', '`debtortrans`', '`discountmatrix`', '`edi_orders_seg_groups`', '`edi_orders_segs`', '`ediitemmapping`', '`edimessageformat`', '`freightcosts`', '`gltrans`', '`grns`', '`holdreasons`', '`lastcostrollup`', '`locations`', '`locstock`', '`loctransfers`', '`orderdeliverydifferenceslog`', '`paymentmethods`', '`paymentterms`', '`periods`', '`prices`', '`purchdata`', '`purchorderdetails`', '`purchorders`', '`recurringsalesorders`', '`recurrsalesorderdetails`', '`reportcolumns`', '`reportheaders`', '`salesanalysis`', '`salescat`', '`salescatprod`', '`salesglpostings`', '`salesman`', '`salesorderdetails`', '`salesorders`', '`salestypes`', '`scripts`', '`securitygroups`', '`securityroles`', '`securitytokens`', '`shipmentcharges`', '`shipments`', '`shippers`', '`stockcategory`', '`stockcheckfreeze`', '`stockcounts`', '`stockmaster`', '`stockmoves`', '`stockserialitems`', '`stockserialmoves`', '`suppallocs`', '`suppliercontacts`', '`suppliers`', '`supptrans`', '`systypes`', '`taxauthorities`', '`unitsofmeasure`', '`workcentres`', '`www_users`', '`debtortranstaxes`', '`stockmovestaxes`', '`supptranstaxes`', '`taxauthrates`', '`taxcategories`', '`taxgroups`', '`taxgrouptaxes`', '`taxprovinces`', '`reportfields`', '`reportlinks`', '`reports`', '`woitems`', '`workorders`', '`stockcatproperties`', '`stockitemproperties`', '`assetmanager`', '`audittrail`', '`factorcompanies`', '`custcontacts`', '`custnotes`', '`debtortype`', '`debtortypenotes`', '`geocode_param`', '`tags`', '`deliverynotes`', '`mrpcalendar`', '`mrpdemandtypes`', '`purchorderauth`', '`woserialnos`', '`worequirements`', '`mrpdemands`']"
